OrderDate,City,Discount,OrderID,PostalCode,ProductName,Profit,Quantity,Sales,ShipDate,State,DaystoShipActual,SalesForecast,DaystoShipScheduled,SalesperCustomer,ProfitRatio,latitude,longitude,Category_encoded,Region_encoded,Segment_encoded,ShipMode_encoded,ShipStatus_encoded,Sub_Category_encoded
2011-01-14,Bossier City,0.0,CA-2011-162775,71111,Staples,3,3,6,2011-01-16,Louisiana,2,7,3,5.64,48.0,32.5449,-93.7038,1,4,2,2,1,1
2011-01-14,Newark,0.7,CA-2011-118192,43055,Avery Metallic Poly Binders,-3,2,3,2011-01-19,Ohio,5,5,6,3.44,-73.3,40.0724,-82.4046,1,2,1,1,1,1
2011-01-14,Newark,0.2,CA-2011-118192,43055,Xerox 1923,13,7,37,2011-01-19,Ohio,5,49,6,37.41,35.0,40.0724,-82.4046,1,2,1,1,1,2
2011-01-14,San Francisco,0.0,CA-2011-157147,94109,4009 Highlighters by Sanford,7,5,20,2011-01-19,California,5,26,6,19.9,33.0,37.7917,-122.4186,1,1,1,1,1,6
2011-01-14,San Francisco,0.0,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,239,5,1326,2011-01-19,California,5,1737,6,1325.85,18.0,37.7917,-122.4186,1,1,1,1,1,5
2011-01-14,Bossier City,0.0,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,259,6,647,2011-01-16,Louisiana,2,847,3,646.74,40.0,32.5449,-93.7038,3,4,2,2,1,7
2011-01-15,Philadelphia,0.5,CA-2011-149524,19140,Sauder Cornerstone Collection Library,-53,4,62,2011-01-16,Pennsylvania,1,81,1,61.96,-86.0,40.0118,-75.1456,2,2,2,3,3,13
2011-01-16,Roswell,0.0,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,66,5,150,2011-01-18,Georgia,2,196,1,149.95,44.0,34.0213,-84.3104,3,4,1,3,2,7
2011-01-17,Philadelphia,0.2,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,29,6,127,2011-01-19,Pennsylvania,2,167,3,127.1,22.5,39.9925,-75.1133,2,2,1,2,1,3
2011-01-17,Philadelphia,0.7,CA-2011-115791,19134,GBC Linen Binding Covers,-14,2,19,2011-01-19,Pennsylvania,2,24,3,18.59,-73.3,39.9925,-75.1133,1,2,1,2,1,1
2011-01-17,Philadelphia,0.2,CA-2011-115791,19134,Round Specialty Laser Printer Labels,10,3,30,2011-01-19,Pennsylvania,2,39,3,30.07,33.8,39.9925,-75.1133,1,2,1,2,1,10
2011-01-17,Philadelphia,0.4,CA-2011-115791,19134,AT&T 841000 Phone,-31,3,124,2011-01-19,Pennsylvania,2,163,3,124.2,-25.0,39.9925,-75.1133,3,2,1,2,1,4
2011-01-19,Springfield,0.2,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,6,4,65,2011-01-22,Oregon,3,85,3,64.86,10.0,44.0611,-123.0153,1,1,2,2,3,9
2011-01-20,Scottsdale,0.7,CA-2011-146591,85254,OSullivan 4-Shelf Bookcase in Odessa Pine,-321,5,181,2011-01-21,Arizona,1,238,1,181.47,-176.7,33.6165,-111.9554,2,1,1,3,3,13
2011-01-20,Scottsdale,0.7,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-24,10,32,2011-01-21,Arizona,1,42,1,32.34,-73.3,33.6165,-111.9554,1,1,1,3,3,1
2011-01-20,Scottsdale,0.2,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",20,4,56,2011-01-21,Arizona,1,73,1,56.06,35.0,33.6165,-111.9554,1,1,1,3,3,2
2011-01-20,Scottsdale,0.2,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",37,5,109,2011-01-21,Arizona,1,142,1,108.72,33.8,33.6165,-111.9554,1,1,1,3,3,12
2011-01-21,Jonesboro,0.0,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",12,4,39,2011-01-27,Arkansas,6,51,6,38.6,30.0,35.833,-90.6965,2,4,1,1,3,3
2011-01-21,Jonesboro,0.0,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,224,3,1068,2011-01-27,Arkansas,6,1399,6,1067.94,21.0,35.833,-90.6965,2,4,1,1,3,8
2011-01-21,Los Angeles,0.0,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6,2,19,2011-01-26,California,5,25,6,19.3,30.0,34.066,-118.474,2,1,1,1,1,3
2011-01-21,Westland,0.0,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,30,3,273,2011-01-27,Michigan,6,358,6,272.94,11.0,42.3358,-83.3846,2,3,1,1,3,3
2011-01-21,Westland,0.0,CA-2011-167927,48185,Ultra Door Push Plate,5,3,15,2011-01-27,Michigan,6,19,6,14.73,33.0,42.3358,-83.3846,2,3,1,1,3,3
2011-01-21,Jonesboro,0.0,US-2011-147627,72401,Newell 327,2,3,7,2011-01-27,Arkansas,6,9,6,6.63,27.0,35.833,-90.6965,1,4,1,1,3,6
2011-01-21,Jonesboro,0.0,US-2011-147627,72401,Newell 351,7,7,23,2011-01-27,Arkansas,6,30,6,22.96,29.0,35.833,-90.6965,1,4,1,1,3,6
2011-01-21,Jonesboro,0.0,US-2011-147627,72401,Staples,11,3,23,2011-01-27,Arkansas,6,31,6,23.34,47.0,35.833,-90.6965,1,4,1,1,3,12
2011-01-21,Los Angeles,0.0,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2 x 4",9,2,19,2011-01-26,California,5,25,6,19.36,48.0,34.066,-118.474,1,1,1,1,1,2
2011-01-21,Smyrna,0.7,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,-52,1,67,2011-01-27,Tennessee,6,88,6,67.19,-76.7,35.9656,-86.5048,1,4,2,1,3,1
2011-01-21,Westland,0.0,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2 x 11, Executive Red",9,5,19,2011-01-27,Michigan,6,25,6,19.05,47.0,42.3358,-83.3846,1,3,1,1,3,1
2011-01-21,Westland,0.0,CA-2011-167927,48185,Eldon Fold N Roll Cart System,4,1,14,2011-01-27,Michigan,6,18,6,13.98,29.0,42.3358,-83.3846,1,3,1,1,3,5
2011-01-21,Westland,0.0,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,16,2,67,2011-01-27,Michigan,6,87,6,66.58,24.0,42.3358,-83.3846,1,3,1,1,3,5
2011-01-21,Westland,0.1,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",94,4,248,2011-01-27,Michigan,6,325,6,247.72,37.8,42.3358,-83.3846,1,3,1,1,3,9
2011-01-21,Westland,0.0,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,13,3,44,2011-01-27,Michigan,6,58,6,43.92,29.0,42.3358,-83.3846,1,3,1,1,3,6
2011-01-21,Westland,0.0,CA-2011-167927,48185,Storex Dura Pro Binders,13,5,30,2011-01-27,Michigan,6,39,6,29.7,45.0,42.3358,-83.3846,1,3,1,1,3,1
2011-01-21,Jonesboro,0.0,US-2011-147627,72401,Apple iPhone 5C,182,7,700,2011-01-27,Arkansas,6,917,6,699.93,26.0,35.833,-90.6965,3,4,1,1,3,4
2011-01-22,Miami,0.2,CA-2011-110422,33180,Ultra Door Pull Handle,4,3,25,2011-01-24,Florida,2,33,3,25.25,16.3,25.9597,-80.1403,2,4,1,2,1,3
2011-01-24,Lafayette,0.0,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",0,3,6,2011-01-28,Indiana,4,8,6,5.94,0.0,40.4001,-86.8602,1,3,1,1,1,14
2011-01-24,Las Vegas,0.0,CA-2011-102645,89115,Xerox 195,19,6,40,2011-01-29,Nevada,5,53,6,40.08,48.0,36.2158,-115.0671,1,1,1,1,1,2
2011-01-27,Alexandria,0.0,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,4,3,12,2011-02-01,Virginia,5,16,6,12.42,36.0,38.8149,-77.121,2,4,3,1,1,3
2011-01-27,Alexandria,0.0,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",31,3,63,2011-02-01,Virginia,5,82,6,62.82,49.0,38.8149,-77.121,2,4,3,1,1,3
2011-01-27,Rapid City,0.0,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",40,2,142,2011-01-30,South Dakota,3,186,1,141.96,28.0,44.1415,-103.2052,2,3,2,3,2,13
2011-01-27,Alexandria,0.0,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2 x 11, Ream",9,3,19,2011-02-01,Virginia,5,25,6,19.44,48.0,38.8149,-77.121,1,4,3,1,1,2
2011-01-27,Alexandria,0.0,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11 X 8 1/2, 100 Messages",8,2,17,2011-02-01,Virginia,5,22,6,16.68,50.0,38.8149,-77.121,1,4,3,1,1,2
2011-01-27,Alexandria,0.0,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",0,8,490,2011-02-01,Virginia,5,642,6,489.92,0.0,38.8149,-77.121,1,4,3,1,1,5
2011-01-27,Rapid City,0.0,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,5,2,11,2011-01-30,South Dakota,3,14,1,10.68,47.0,44.1415,-103.2052,1,3,2,3,2,1
2011-01-27,Alexandria,0.0,US-2011-155502,22304,Jabra SPEAK 410,53,2,188,2011-02-01,Virginia,5,246,6,187.98,28.0,38.8149,-77.121,3,4,3,1,1,4
2011-01-27,Alexandria,0.0,US-2011-155502,22304,Macally Suction Cup Mount,0,13,155,2011-02-01,Virginia,5,204,6,155.35,0.0,38.8149,-77.121,3,4,3,1,1,4
2011-01-28,San Diego,0.2,US-2011-117163,92037,Balt Split Level Computer Training Table,-17,3,333,2011-02-03,California,6,436,6,333.0,-5.0,32.8455,-117.2521,2,1,1,1,3,11
2011-01-28,San Diego,0.0,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,12,4,36,2011-02-03,California,6,48,6,36.44,33.0,32.8455,-117.2521,1,1,1,1,3,6
2011-01-28,San Diego,0.0,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,14,1,57,2011-02-03,California,6,75,6,57.23,25.0,32.8455,-117.2521,1,1,1,1,3,5
2011-01-29,New York City,0.2,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2 x 11, Light Blue",1,1,4,2011-02-04,New York,6,5,6,3.93,33.8,40.7864,-73.9764,1,2,1,1,3,1
2011-01-31,Detroit,0.0,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,7,2,230,2011-02-05,Michigan,5,301,6,229.94,3.0,42.4337,-83.0434,1,3,1,1,1,5
2011-01-31,Detroit,0.0,CA-2011-134103,48234,Xerox 1972,5,2,11,2011-02-05,Michigan,5,14,6,10.56,45.0,42.4337,-83.0434,1,3,1,1,1,2
2011-02-01,Mission Viejo,0.15,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",3,2,291,2011-02-03,California,2,381,1,290.67,1.2,33.6128,-117.6622,2,1,1,3,2,13
2011-02-02,Green Bay,0.0,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,206,6,469,2011-02-04,Wisconsin,2,614,1,468.9,44.0,44.5025,-87.9771,3,3,1,3,2,7
2011-02-03,Saint Petersburg,0.7,CA-2011-123400,33710,Surelock Post Binders,-12,2,18,2011-02-10,Florida,7,24,6,18.34,-66.7,27.7898,-82.7243,1,4,1,1,2,1
2011-02-03,San Diego,0.0,CA-2011-139857,92037,Staples,6,5,12,2011-02-07,California,4,16,6,12.35,47.0,32.8455,-117.2521,1,1,3,1,1,14
2011-02-03,Saint Petersburg,0.2,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,14,5,181,2011-02-10,Florida,7,237,6,180.96,7.5,27.7898,-82.7243,3,4,1,1,2,4
2011-02-04,Seattle,0.2,CA-2011-111059,98105,Avery Durable Poly Binders,4,3,13,2011-02-07,Washington,3,17,3,13.27,32.5,47.6633,-122.3022,1,1,1,2,3,1
2011-02-04,Seattle,0.2,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,27,2,84,2011-02-07,Washington,3,110,3,83.84,32.5,47.6633,-122.3022,1,1,1,2,3,1
2011-02-05,Escondido,0.2,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",6,2,17,2011-02-09,California,4,23,3,17.25,35.0,33.1101,-117.07,1,1,2,2,2,1
2011-02-05,San Diego,0.2,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,29,3,83,2011-02-09,California,4,109,6,82.9,35.0,33.0535,-117.2689,1,1,3,1,1,1
2011-02-05,San Diego,0.0,CA-2011-107181,92024,"Message Book, Standard Line While You Were Out, 5 1/2 X 4, 200 Sets/Book",16,4,34,2011-02-09,California,4,45,6,34.24,47.0,33.0535,-117.2689,1,1,3,1,1,2
2011-02-07,Chesapeake,0.0,CA-2011-131905,23320,Avery 480,7,4,15,2011-02-10,Virginia,3,20,1,15.0,48.0,36.7352,-76.2384,1,4,2,3,2,10
2011-02-07,Romeoville,0.8,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",-15,2,9,2011-02-11,Illinois,4,12,3,8.95,-165.0,41.593,-88.0507,1,3,1,2,2,1
2011-02-07,Chesapeake,0.0,CA-2011-131905,23320,AT&T CL82213,42,5,145,2011-02-10,Virginia,3,190,1,144.95,29.0,36.7352,-76.2384,3,4,2,3,2,4
2011-02-07,Chesapeake,0.0,CA-2011-131905,23320,Aastra 57i VoIP phone,42,1,162,2011-02-10,Virginia,3,212,1,161.61,26.0,36.7352,-76.2384,3,4,2,3,2,4
2011-02-08,New York City,0.0,US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,10,4,65,2011-02-11,New York,3,85,3,64.96,15.0,40.7864,-73.9764,1,2,2,2,3,5
2011-02-08,Linden,0.0,CA-2011-107755,7036,Maxell DVD-RAM Discs,50,7,115,2011-02-13,New Jersey,5,151,6,115.36,43.0,40.6354,-74.2556,3,2,2,1,1,7
2011-02-09,North Las Vegas,0.0,CA-2011-125759,89031,"Master Caster Door Stop, Large Brown",6,2,15,2011-02-10,Nevada,1,19,1,14.56,38.0,36.2589,-115.1718,2,1,3,3,3,3
2011-02-12,Chesapeake,0.0,CA-2011-127614,23320,Hon 2111 Invitation Series Corner Table,75,6,1256,2011-02-16,Virginia,4,1646,6,1256.22,6.0,36.7352,-76.2384,2,4,1,1,1,11
2011-02-12,Columbia,0.0,CA-2011-168368,65203,"Global Value Mid-Back Managers Chair, Gray",15,1,61,2011-02-16,Missouri,4,80,3,60.89,25.0,38.9348,-92.3639,2,3,1,2,2,8
2011-02-12,Columbia,0.0,CA-2011-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66 x 60, Lip 20 x 11 -90 Degree Angle",53,3,333,2011-02-16,Missouri,4,436,3,332.94,16.0,38.9348,-92.3639,2,3,1,2,2,3
2011-02-12,Chesapeake,0.0,CA-2011-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,8,2,17,2011-02-16,Virginia,4,23,6,17.46,47.0,36.7352,-76.2384,1,4,1,1,1,1
2011-02-12,Columbia,0.0,CA-2011-168368,65203,Avery 483,7,3,15,2011-02-16,Missouri,4,20,3,14.94,46.0,38.9348,-92.3639,1,3,1,2,2,10
2011-02-12,Columbia,0.0,CA-2011-168368,65203,Fellowes Neat Ideas Storage Cubes,3,2,65,2011-02-16,Missouri,4,85,3,64.96,4.0,38.9348,-92.3639,1,3,1,2,2,5
2011-02-12,Columbia,0.0,CA-2011-168368,65203,VariCap6 Expandable Binder,24,3,52,2011-02-16,Missouri,4,68,3,51.9,47.0,38.9348,-92.3639,1,3,1,2,2,1
2011-02-12,Columbia,0.0,CA-2011-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,4,2,10,2011-02-16,Missouri,4,13,3,9.64,46.0,38.9348,-92.3639,1,3,1,2,2,1
2011-02-12,Chesapeake,0.0,CA-2011-127614,23320,Enermax Aurora Lite Keyboard,103,3,234,2011-02-16,Virginia,4,307,6,234.45,44.0,36.7352,-76.2384,3,4,1,1,1,7
2011-02-13,Concord,0.2,US-2011-110674,94521,"Global Geo Office Task Chair, Gray",-24,2,130,2011-02-19,California,6,170,6,129.57,-18.8,37.9575,-121.975,2,1,1,1,3,8
2011-02-15,Houston,0.2,CA-2011-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",6,3,16,2011-02-20,Texas,5,21,3,16.18,37.5,29.8941,-95.6481,1,3,1,2,2,2
2011-02-15,Seattle,0.0,CA-2011-121762,98103,Belkin 8 Outlet Surge Protector,23,2,82,2011-02-19,Washington,4,107,6,81.96,28.0,47.6733,-122.3426,1,1,2,1,1,9
2011-02-15,Seattle,0.0,CA-2011-121762,98103,Compact Automatic Electric Letter Opener,5,2,239,2011-02-19,Washington,4,313,6,238.62,2.0,47.6733,-122.3426,1,1,2,1,1,15
2011-02-15,Seattle,0.0,CA-2011-121762,98103,Logitech G600 MMO Gaming Mouse,86,3,240,2011-02-19,Washington,4,314,6,239.97,36.0,47.6733,-122.3426,3,1,2,1,1,7
2011-02-16,Seattle,0.2,CA-2011-165568,98105,Pressboard Data Binders by Wilson Jones,7,5,21,2011-02-20,Washington,4,28,6,21.36,33.8,47.6633,-122.3022,1,1,2,1,1,1
2011-02-17,Dallas,0.8,CA-2011-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",-14,2,8,2011-02-22,Texas,5,10,6,7.96,-175.0,32.8681,-96.8622,1,3,1,1,1,9
2011-02-17,Dallas,0.8,CA-2011-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,-2,3,1,2011-02-22,Texas,5,1,6,1.08,-160.0,32.8681,-96.8622,1,3,1,1,1,1
2011-02-18,Chicago,0.2,CA-2011-154165,60653,Staples,9,14,54,2011-02-25,Illinois,7,71,6,54.21,16.3,41.8196,-87.6126,1,3,1,1,2,6
2011-02-19,Lubbock,0.6,US-2011-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",-11,5,25,2011-02-19,Texas,0,33,0,25.16,-45.0,33.5159,-101.9344,2,3,1,4,3,3
2011-02-19,Arlington,0.2,CA-2011-152905,76017,Akro Stacking Bins,-3,2,13,2011-02-25,Texas,6,17,6,12.62,-20.0,32.6555,-97.1599,1,3,1,1,3,5
2011-02-21,Richmond,0.0,CA-2011-109491,47374,"Master Caster Door Stop, Brown",7,4,20,2011-02-27,Indiana,6,27,6,20.32,34.0,39.8324,-84.8936,2,3,2,1,3,3
2011-02-21,Los Angeles,0.0,CA-2011-164903,90049,Xerox 204,6,2,13,2011-02-25,California,4,17,6,12.96,48.0,34.066,-118.474,1,1,3,1,1,2
2011-02-21,Richmond,0.0,CA-2011-109491,47374,Enermax Briskie RF Wireless Keyboard and Mouse Combo,22,3,62,2011-02-27,Indiana,6,82,6,62.31,36.0,39.8324,-84.8936,3,3,2,1,3,7
2011-02-22,Woodstock,0.8,CA-2011-165540,60098,GBC Standard Plastic Binding Systems Combs,-14,5,9,2011-02-26,Illinois,4,12,6,8.85,-155.0,42.3198,-88.4477,1,3,1,1,1,1
2011-02-23,Moreno Valley,0.0,CA-2011-133354,92553,Xerox 220,9,3,19,2011-02-25,California,2,25,1,19.44,48.0,33.9157,-117.2351,1,1,1,3,2,2
2011-02-24,El Paso,0.8,CA-2011-103744,79907,GBC Plastic Binding Combs,-7,3,4,2011-02-28,Texas,4,6,6,4.43,-155.0,31.7089,-106.3293,1,3,3,1,1,1
2011-02-24,El Paso,0.2,CA-2011-103744,79907,Staples,2,3,7,2011-02-28,Texas,4,9,6,6.94,33.8,31.7089,-106.3293,1,3,3,1,1,10
2011-02-25,Medford,0.2,US-2011-137680,97504,"Message Book, Wirebound, Four 5 1/2 X 4 Forms/Pg., 200 Dupl. Sets/Book",11,4,33,2011-03-02,Oregon,5,43,6,32.9,33.8,42.3363,-122.8398,1,1,1,1,1,2
2011-02-25,Medford,0.2,US-2011-137680,97504,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",8,3,23,2011-03-02,Oregon,5,30,6,22.78,33.8,42.3363,-122.8398,1,1,1,1,1,2
2011-02-28,Columbus,0.2,CA-2011-156545,43229,Zebra Zazzle Fluorescent Highlighters,3,4,19,2011-03-03,Ohio,3,25,1,19.46,17.5,40.0839,-82.9726,1,2,1,3,2,6
2011-03-01,El Paso,0.6,CA-2011-131009,79907,DAX Black Cherry Wood-Tone Poster Frame,-35,6,64,2011-03-05,Texas,4,83,6,63.55,-55.0,31.7089,-106.3293,2,3,1,1,1,3
2011-03-01,El Paso,0.3,CA-2011-131009,79907,Harbour Creations Steel Folding Chair,0,6,362,2011-03-05,Texas,4,475,6,362.25,0.0,31.7089,-106.3293,2,3,1,1,1,8
2011-03-01,Elmhurst,0.3,CA-2011-113880,60126,Novimex Swivel Fabric Task Chair,-172,6,634,2011-03-05,Illinois,4,831,6,634.12,-27.1,41.8927,-87.941,2,3,3,1,1,8
2011-03-01,Houston,0.3,CA-2011-168312,77036,Bevis Round Conference Room Tables and Bases,-43,3,377,2011-03-07,Texas,6,493,6,376.51,-11.4,29.6984,-95.5405,2,3,1,1,3,11
2011-03-01,Seattle,0.2,CA-2011-104269,98115,Global Deluxe High-Back Managers Chair,51,2,458,2011-03-06,Washington,5,600,3,457.57,11.3,47.6849,-122.2968,2,1,1,2,2,8
2011-03-01,El Paso,0.2,CA-2011-131009,79907,Fellowes Bankers Box Recycled Super Stor/Drawer,-23,3,130,2011-03-05,Texas,4,170,6,129.55,-17.5,31.7089,-106.3293,1,3,1,1,1,5
